Model,AUC,Threshold,Net_Benefit
SVM,0.8444783573806881,0.01,0.27326171770616214
SVM,0.8444783573806881,0.02,0.2669258179462261
SVM,0.8444783573806881,0.03,0.26176839578901434
SVM,0.8444783573806881,0.04,0.2581569664902998
SVM,0.8444783573806881,0.05,0.25368978000556947
SVM,0.8444783573806881,0.060000000000000005,0.2500281436451649
SVM,0.8444783573806881,0.06999999999999999,0.24736872048700004
SVM,0.8444783573806881,0.08,0.24453646192776626
SVM,0.8444783573806881,0.09,0.23268794697366124
SVM,0.8444783573806881,0.09999999999999999,0.23045267489711935
SVM,0.8444783573806881,0.11,0.22733487902027227
SVM,0.8444783573806881,0.12,0.22126022126022127
SVM,0.8444783573806881,0.13,0.21261327008453443
SVM,0.8444783573806881,0.14,0.21016365202411713
SVM,0.8444783573806881,0.15000000000000002,0.197323373793962
SVM,0.8444783573806881,0.16,0.19425547996976567
SVM,0.8444783573806881,0.17,0.19015745521769617
SVM,0.8444783573806881,0.18000000000000002,0.1871209188282359
SVM,0.8444783573806881,0.19,0.1853811483441113
SVM,0.8444783573806881,0.2,0.17857142857142855
SVM,0.8444783573806881,0.21000000000000002,0.1638872145201259
SVM,0.8444783573806881,0.22,0.16117216117216115
SVM,0.8444783573806881,0.23,0.15694358551501408
SVM,0.8444783573806881,0.24000000000000002,0.15594541910331383
SVM,0.8444783573806881,0.25,0.15343915343915343
SVM,0.8444783573806881,0.26,0.14571714571714572
SVM,0.8444783573806881,0.27,0.1453214466913097
SVM,0.8444783573806881,0.28,0.14315108759553202
SVM,0.8444783573806881,0.29000000000000004,0.1389075191892093
SVM,0.8444783573806881,0.3,0.13454270597127738
SVM,0.8444783573806881,0.31,0.130051376428188
SVM,0.8444783573806881,0.32,0.13040771864301276
SVM,0.8444783573806881,0.33,0.1284845613203822
SVM,0.8444783573806881,0.34,0.1266634599967933
SVM,0.8444783573806881,0.35000000000000003,0.12494912494912493
SVM,0.8444783573806881,0.36000000000000004,0.12334656084656082
SVM,0.8444783573806881,0.37,0.12186109011505836
SVM,0.8444783573806881,0.38,0.12049837856289468
SVM,0.8444783573806881,0.39,0.1139734582357533
SVM,0.8444783573806881,0.4,0.11287477954144619
SVM,0.8444783573806881,0.41000000000000003,0.0976594027441485
SVM,0.8444783573806881,0.42000000000000004,0.09669768290457943
SVM,0.8444783573806881,0.43,0.09588786781769239
SVM,0.8444783573806881,0.44,0.09523809523809523
SVM,0.8444783573806881,0.45,0.08513708513708514
SVM,0.8444783573806881,0.46,0.08465608465608465
SVM,0.8444783573806881,0.47000000000000003,0.07966457023060797
SVM,0.8444783573806881,0.48000000000000004,0.06919006919006918
SVM,0.8444783573806881,0.49,0.05851229380641146
SVM,0.8444783573806881,0.5,0.0582010582010582
SVM,0.8444783573806881,0.51,0.0525861138106036
SVM,0.8444783573806881,0.52,0.03615520282186946
SVM,0.8444783573806881,0.53,0.024766407745131114
SVM,0.8444783573806881,0.54,0.01840349666436622
SVM,0.8444783573806881,0.55,0.011757789535567276
SVM,0.8444783573806881,0.56,0.004810004810004792
SVM,0.8444783573806881,0.5700000000000001,0.006275378368401585
SVM,0.8444783573806881,0.5800000000000001,-0.004031242126480261
SVM,0.8444783573806881,0.59,-0.0034843205574912606
SVM,0.8444783573806881,0.6,-0.007936507936507908
SVM,0.8444783573806881,0.61,-0.0067833401166734475
SVM,0.8444783573806881,0.62,-0.010582010582010581
SVM,0.8444783573806881,0.63,-0.008723008723008713
SVM,0.8444783573806881,0.64,-0.021164021164021163
SVM,0.8444783573806881,0.65,-0.009070294784580518
SVM,0.8444783573806881,0.66,-0.005913476501711812
SVM,0.8444783573806881,0.67,-0.0235690235690236
SVM,0.8444783573806881,0.68,-0.019841269841269882
SVM,0.8444783573806881,0.6900000000000001,-0.01553166069295106
SVM,0.8444783573806881,0.7000000000000001,0.008818342151675457
SVM,0.8444783573806881,0.7100000000000001,0.010399562123699996
SVM,0.8444783573806881,0.72,0.012849584278155718
SVM,0.8444783573806881,0.73,0.007250636880266531
SVM,0.8444783573806881,0.74,-0.009361009361009351
SVM,0.8444783573806881,0.75,-0.031746031746031744
SVM,0.8444783573806881,0.76,-0.03880070546737213
SVM,0.8444783573806881,0.77,-0.05175983436853002
SVM,0.8444783573806881,0.78,-0.022607022607022617
SVM,0.8444783573806881,0.79,-0.02947845804988665
SVM,0.8444783573806881,0.8,-0.04232804232804235
SVM,0.8444783573806881,0.81,-0.055973266499582314
SVM,0.8444783573806881,0.8200000000000001,-0.06525573192239864
SVM,0.8444783573806881,0.8300000000000001,-0.02396514161220048
SVM,0.8444783573806881,0.8400000000000001,-0.031746031746031814
SVM,0.8444783573806881,0.85,-0.051146384479717796
SVM,0.8444783573806881,0.86,-0.06122448979591835
SVM,0.8444783573806881,0.87,-0.07285307285307283
SVM,0.8444783573806881,0.88,-0.08641975308641975
SVM,0.8444783573806881,0.89,-0.10245310245310246
SVM,0.8444783573806881,0.9,-0.12169312169312171
SVM,0.8444783573806881,0.91,-0.14520870076425638
SVM,0.8444783573806881,0.92,-0.11904761904761915
SVM,0.8444783573806881,0.93,-0.16326530612244913
SVM,0.8444783573806881,0.9400000000000001,-0.21164021164021188
SVM,0.8444783573806881,0.9500000000000001,-0.27513227513227556
SVM,0.8444783573806881,0.9600000000000001,-0.37037037037037107
SVM,0.8444783573806881,0.97,-0.33156966490299794
SVM,0.8444783573806881,0.98,-0.24867724867724844
Random Forest Optimized,0.8442008879023308,0.01,0.27336860670194
Random Forest Optimized,0.8442008879023308,0.02,0.2663859194471439
Random Forest Optimized,0.8442008879023308,0.03,0.2607865597556319
Random Forest Optimized,0.8442008879023308,0.04,0.2548500881834215
Random Forest Optimized,0.8442008879023308,0.05,0.24951267056530213
Random Forest Optimized,0.8442008879023308,0.060000000000000005,0.24665090622537428
Random Forest Optimized,0.8442008879023308,0.06999999999999999,0.2365022472549354
Random Forest Optimized,0.8442008879023308,0.08,0.23188405797101447
Random Forest Optimized,0.8442008879023308,0.09,0.2232687946973661
Random Forest Optimized,0.8442008879023308,0.09999999999999999,0.21987066431510877
Random Forest Optimized,0.8442008879023308,0.11,0.21752571190773437
Random Forest Optimized,0.8442008879023308,0.12,0.21356421356421357
Random Forest Optimized,0.8442008879023308,0.13,0.20683573557136775
Random Forest Optimized,0.8442008879023308,0.14,0.2059800664451827
Random Forest Optimized,0.8442008879023308,0.15000000000000002,0.1967009025832555
Random Forest Optimized,0.8442008879023308,0.16,0.19274376417233557
Random Forest Optimized,0.8442008879023308,0.17,0.18352776184101482
Random Forest Optimized,0.8442008879023308,0.18000000000000002,0.17782939734159245
Random Forest Optimized,0.8442008879023308,0.19,0.17421124828532236
Random Forest Optimized,0.8442008879023308,0.2,0.17328042328042326
Random Forest Optimized,0.8442008879023308,0.21000000000000002,0.1593329314848302
Random Forest Optimized,0.8442008879023308,0.22,0.1492334825668159
Random Forest Optimized,0.8442008879023308,0.23,0.15220229505943791
Random Forest Optimized,0.8442008879023308,0.24000000000000002,0.14564188248398774
Random Forest Optimized,0.8442008879023308,0.25,0.14462081128747795
Random Forest Optimized,0.8442008879023308,0.26,0.14385814385814383
Random Forest Optimized,0.8442008879023308,0.27,0.14140755236645647
Random Forest Optimized,0.8442008879023308,0.28,0.14315108759553202
Random Forest Optimized,0.8442008879023308,0.29000000000000004,0.14322974886355166
Random Forest Optimized,0.8442008879023308,0.3,0.14361300075585787
Random Forest Optimized,0.8442008879023308,0.31,0.14193696802392453
Random Forest Optimized,0.8442008879023308,0.32,0.1378773731714908
Random Forest Optimized,0.8442008879023308,0.33,0.13890863144594484
Random Forest Optimized,0.8442008879023308,0.34,0.13756613756613756
Random Forest Optimized,0.8442008879023308,0.35000000000000003,0.13105413105413105
Random Forest Optimized,0.8442008879023308,0.36000000000000004,0.12764550264550262
Random Forest Optimized,0.8442008879023308,0.37,0.1268161585621903
Random Forest Optimized,0.8442008879023308,0.38,0.12288786482334868
Random Forest Optimized,0.8442008879023308,0.39,0.12897909619221093
Random Forest Optimized,0.8442008879023308,0.4,0.12874779541446207
Random Forest Optimized,0.8442008879023308,0.41000000000000003,0.13236481033091202
Random Forest Optimized,0.8442008879023308,0.42000000000000004,0.12734902390074804
Random Forest Optimized,0.8442008879023308,0.43,0.12382808874036945
Random Forest Optimized,0.8442008879023308,0.44,0.12849584278155707
Random Forest Optimized,0.8442008879023308,0.45,0.1240981240981241
Random Forest Optimized,0.8442008879023308,0.46,0.1101312953164805
Random Forest Optimized,0.8442008879023308,0.47000000000000003,0.10601976639712488
Random Forest Optimized,0.8442008879023308,0.48000000000000004,0.10744810744810744
Random Forest Optimized,0.8442008879023308,0.49,0.10405643738977073
Random Forest Optimized,0.8442008879023308,0.5,0.10052910052910052
Random Forest Optimized,0.8442008879023308,0.51,0.09728970953460749
Random Forest Optimized,0.8442008879023308,0.52,0.0939153439153439
Random Forest Optimized,0.8442008879023308,0.53,0.09636384104469209
Random Forest Optimized,0.8442008879023308,0.54,0.09385783298826776
Random Forest Optimized,0.8442008879023308,0.55,0.09053497942386829
Random Forest Optimized,0.8442008879023308,0.56,0.09523809523809522
Random Forest Optimized,0.8442008879023308,0.5700000000000001,0.09216192937123167
Random Forest Optimized,0.8442008879023308,0.5800000000000001,0.07306626354245399
Random Forest Optimized,0.8442008879023308,0.59,0.05910440056781521
Random Forest Optimized,0.8442008879023308,0.6,0.055555555555555566
Random Forest Optimized,0.8442008879023308,0.61,0.03595170261836929
Random Forest Optimized,0.8442008879023308,0.62,0.026733500417710943
Random Forest Optimized,0.8442008879023308,0.63,0.01730301730301731
Random Forest Optimized,0.8442008879023308,0.64,0.022339800117577885
Random Forest Optimized,0.8442008879023308,0.65,0.01814058956916098
Random Forest Optimized,0.8442008879023308,0.66,0.018674136321195134
Random Forest Optimized,0.8442008879023308,0.67,0.014430014430014404
Random Forest Optimized,0.8442008879023308,0.68,0.0046296296296296086
Random Forest Optimized,0.8442008879023308,0.6900000000000001,-0.010752688172043043
Random Forest Optimized,0.8442008879023308,0.7000000000000001,-0.0035273368606702216
Random Forest Optimized,0.8442008879023308,0.7100000000000001,-0.013683634373289594
Random Forest Optimized,0.8442008879023308,0.72,-0.024187452758881317
Random Forest Optimized,0.8442008879023308,0.73,-0.015481089555163613
Random Forest Optimized,0.8442008879023308,0.74,-0.02075702075702074
Random Forest Optimized,0.8442008879023308,0.75,-0.031746031746031744
Random Forest Optimized,0.8442008879023308,0.76,-0.04850088183421518
Random Forest Optimized,0.8442008879023308,0.77,-0.05521048999309869
Random Forest Optimized,0.8442008879023308,0.78,-0.06782106782106784
Random Forest Optimized,0.8442008879023308,0.79,-0.061224489795918394
Random Forest Optimized,0.8442008879023308,0.8,-0.052910052910052935
Random Forest Optimized,0.8442008879023308,0.81,-0.01475912002227793
Random Forest Optimized,0.8442008879023308,0.8200000000000001,-0.024691358024691384
Random Forest Optimized,0.8442008879023308,0.8300000000000001,-0.045751633986928136
Random Forest Optimized,0.8442008879023308,0.8400000000000001,-0.05687830687830693
Random Forest Optimized,0.8442008879023308,0.85,-0.06349206349206347
Random Forest Optimized,0.8442008879023308,0.86,-0.0438397581254724
Random Forest Optimized,0.8442008879023308,0.87,-0.04965404965404964
Random Forest Optimized,0.8442008879023308,0.88,-0.0564373897707231
Random Forest Optimized,0.8442008879023308,0.89,-0.02693602693602694
Random Forest Optimized,0.8442008879023308,0.9,-0.03703703703703704
Random Forest Optimized,0.8442008879023308,0.91,-0.04291593180482071
Random Forest Optimized,0.8442008879023308,0.92,-0.050264550264550296
Random Forest Optimized,0.8442008879023308,0.93,0.005291005291005291
Random Forest Optimized,0.8442008879023308,0.9400000000000001,0.005291005291005291
Random Forest Optimized,0.8442008879023308,0.9500000000000001,0.005291005291005291
Random Forest Optimized,0.8442008879023308,0.9600000000000001,0.005291005291005291
Random Forest Optimized,0.8442008879023308,0.97,0.005291005291005291
Random Forest Optimized,0.8442008879023308,0.98,0.0
Random Forest,0.8423973362930077,0.01,0.273422051199829
Random Forest,0.8423973362930077,0.02,0.2669258179462261
Random Forest,0.8423973362930077,0.03,0.260950199094529
Random Forest,0.8423973362930077,0.04,0.25573192239858905
Random Forest,0.8423973362930077,0.05,0.2500696184906711
Random Forest,0.8423973362930077,0.060000000000000005,0.24169762467634806
Random Forest,0.8423973362930077,0.06999999999999999,0.2365022472549354
Random Forest,0.8423973362930077,0.08,0.23234414538762363
Random Forest,0.8423973362930077,0.09,0.2275132275132275
Random Forest,0.8423973362930077,0.09999999999999999,0.2192827748383304
Random Forest,0.8423973362930077,0.11,0.2149099340110576
Random Forest,0.8423973362930077,0.12,0.21284271284271283
Random Forest,0.8423973362930077,0.13,0.20975491090433618
Random Forest,0.8423973362930077,0.14,0.20610311307985724
Random Forest,0.8423973362930077,0.15000000000000002,0.2026143790849673
Random Forest,0.8423973362930077,0.16,0.19299571680524058
Random Forest,0.8423973362930077,0.17,0.17919296232549242
Random Forest,0.8423973362930077,0.18000000000000002,0.17615176151761516
Random Forest,0.8423973362930077,0.19,0.17702005356326345
Random Forest,0.8423973362930077,0.2,0.17328042328042326
Random Forest,0.8423973362930077,0.21000000000000002,0.16850847230594063
Random Forest,0.8423973362930077,0.22,0.16510649843983177
Random Forest,0.8423973362930077,0.23,0.15962344533773104
Random Forest,0.8423973362930077,0.24000000000000002,0.15817321080478974
Random Forest,0.8423973362930077,0.25,0.14991181657848324
Random Forest,0.8423973362930077,0.26,0.14543114543114544
Random Forest,0.8423973362930077,0.27,0.13945060520402985
Random Forest,0.8423973362930077,0.28,0.13492063492063489
Random Forest,0.8423973362930077,0.29000000000000004,0.13674640435203814
Random Forest,0.8423973362930077,0.3,0.12925170068027209
Random Forest,0.8423973362930077,0.31,0.12713748945633002
Random Forest,0.8423973362930077,0.32,0.12760659819483347
Random Forest,0.8423973362930077,0.33,0.12579957356076757
Random Forest,0.8423973362930077,0.34,0.11880711880711878
Random Forest,0.8423973362930077,0.35000000000000003,0.11436711436711434
Random Forest,0.8423973362930077,0.36000000000000004,0.11871693121693119
Random Forest,0.8423973362930077,0.37,0.12060132695053329
Random Forest,0.8423973362930077,0.38,0.1164021164021164
Random Forest,0.8423973362930077,0.39,0.12221354844305662
Random Forest,0.8423973362930077,0.4,0.12169312169312167
Random Forest,0.8423973362930077,0.41000000000000003,0.1176576091830329
Random Forest,0.8423973362930077,0.42000000000000004,0.1158547710271848
Random Forest,0.8423973362930077,0.43,0.11185370834493642
Random Forest,0.8423973362930077,0.44,0.10657596371882086
Random Forest,0.8423973362930077,0.45,0.10245310245310245
Random Forest,0.8423973362930077,0.46,0.09817754262198707
Random Forest,0.8423973362930077,0.47000000000000003,0.10781671159029649
Random Forest,0.8423973362930077,0.48000000000000004,0.09849409849409849
Random Forest,0.8423973362930077,0.49,0.09430438842203548
